Count,Name,Year,Price
388,Charles Davis,"Cox: The Tokens, Checks, Metallic Tickets, Passes and Tallies of Wales 1800 – 1993",US$40.00
389,Charles Davis,Le May. R. The Coinage of Siam,US$75.00
390,Charles Davis,Kulkarni: Archaic Coinage of Godavari Valley and the Deccan,US$80.00
391,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
392,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
393,NB-Numismatics,Islamic Arabia Zuray'ids Muhammad ibn Saba' gold dinar,US$799.00
394,NB-Numismatics,Italy Sicily  Guglielmo I gold tari no year,US$999.00
395,NB-Numismatics,Netherlands Friesland Graafschap Bruno III van Brunswijk AR denar,US$479.00
396,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
397,NB-Numismatics,Netherlands Utrecht Bisdom Bernold AR denar,US$359.00
398,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
399,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
400,Civitas Galleries,BRITISH NORTH BORNEO: 1903-H 2 1/2 Cents,US$17.00
401,Civitas Galleries,CANADA: 1919 George V Cent,US$27.00
402,Civitas Galleries,CANADA: 1915 George V Cent,US$27.00
403,Civitas Galleries,CANADA: 1912 George V Cent,US$20.00
404,Civitas Galleries,CANADA: 1903 Edward VII Cent,US$10.00
405,Civitas Galleries,CANADA: 1918 George V Cent,US$10.00
406,Civitas Galleries,CANADA: 1916 George V Cent,US$14.00
407,Civitas Galleries,CANADA: 1915 George V Cent,US$14.00
408,Germania Inferior Numismatics (GIN),TIME OF NAPOLEON AR 36mm SILVER medal 1815 A.D. Commemorating the Battle of Waterloo and the victors Blucher & Wellington,€375.00
409,NB-Numismatics,Germany Saxony Otto III pfennig,US$249.00
410,NB-Numismatics,Crusader Antioch Raymond Roupen AR denier,US$159.00
411,Denarius Ringsrud,"Norway, 24 skilling 1846","NOK3,750.00"
412,Denarius Ringsrud,"Greenland, 1 krone 1926",NOK200.00
413,Forum Ancient Coins,Brandenburg-Preussen Friedrich II 1440-1470 Hohlpfennig Bracteate 0.341g,US$102.00
414,NB-Numismatics,France 10 francs 1968- Hercules,US$40.00
415,NB-Numismatics,Italy Messina Corrado I BI denaro,US$35.00
416,NB-Numismatics,Islamic Seljuks Rum Ghiyath al-Din Kay Khusraw I bin Qilich Arslan AE fals,US$59.00
417,NB-Numismatics,Austrian Netherlands Brabant Maria-Theresia 1/2 kroon (couronne) 1765,US$119.00
418,Carthago Numismatics,"Suleiman I the magnificent (1520-1566) 1 Sultani AH929, AD1520 Gold 3,47g. .",€440.00
419,Sovereign Rarities,"India, Victoria, gold Mohur, 1841 C, AU Details.","£3,098.00"
420,Sovereign Rarities,Commonwealth silver Penny,£210.00
421,Sovereign Rarities,"William I Penny, Profile Right type, London Mint, Aelfwine","£1,313.00"
422,Sovereign Rarities,"Edward the Confessor, facing bust Penny, Wallingford, Burewine",£893.00
